Gene	Accession No.	Species
cad	EU122062	Ctenoplectra antinorii
cad	EU122063	Ctenoplectra armata
cad	EU122064	Ctenoplectra australica
cad	EU122065	Ctenoplectra bequaerti
cad	EU122066	Ctenoplectra davidi
cad	EU122067	Ctenoplectra florisomnis
cad	EU122070	Ctenoplectra kelloggi
cad	EU122072	Ctenoplectra polita
cad	EU122077	Ctenoplectra terminalis
cad	EU122061	Ctenoplectrina alluaudi
cad	EU122075	Ctenoplectrina n. sp. HS-2007
cad	DQ067161	Dasypoda argentata
cad	DQ067162	Dasypoda hirtipes
cad	DQ067163	Dasypoda visnaga
cad	HQ995854	Dianthidium arizonicum
cad	DQ067150	Dieunomia heteropoda
cad	DQ067151	Dieunomia nevadensis
cad	HQ995845	Dioxys moesta
cad	DQ067142	Diphaglossa gayi
cad	HQ995855	Duckeanthidium thielei
cad	HQ995856	Eoanthidium turnericum
cad	HQ995857	Epanthidium bicoloratum
cad	GU945210	Eremaphanta iranica
cad	DQ067122	Eucerceris tricolor
cad	HQ995828	Fidelia braunsiana
cad	HQ995830	Fidelia friesei
cad	HQ995825	Fidelia kobrowi
cad	HQ995831	Fidelia pallidula
cad	HQ995826	Fidelia paradoxa
cad	HQ995829	Fidelia ulrikei
cad	HQ995827	Fidelia villosa
cad	HQ995832	Fideliopsis hessei
cad	HQ995833	Fideliopsis major
cad	HQ995834	Fideliopsis ornata
cad	HQ995906	Haetosmia brachyura
cad	EU851447	Haetosmia circumventa
cad	EU851450	Heriades crucifer
cad	DQ067194	Heriades crucifera
cad	EU851449	Heriades punctulifer
cad	EU851448	Heriades truncorum
cad	DQ067167	Hesperapis larreae
cad	DQ067168	Hesperapis regularis
cad	DQ067166	Hesperapis rhodocerata
cad	DQ067165	Hesperapis sp. Hesp940
cad	HQ995907	Hofferia schmiedeknechti
cad	DQ067187	Holcopasites ruthae
cad	HQ995908	Hoplitis adunca
cad	EU851462	Hoplitis aff. onychophora CJP-2008
cad	EU851472	Hoplitis albifrons
cad	EU851456	Hoplitis annulata crenulata
cad	EU851469	Hoplitis antalyae
cad	EU851464	Hoplitis biscutellae
cad	EU851457	Hoplitis bisulca
cad	EU851479	Hoplitis brachypogon
cad	EU851458	Hoplitis hemisphaerica
cad	EU851463	Hoplitis hypocrita
cad	EU851461	Hoplitis illustris
