Superfamily,Tag,Region,Country,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,ITxBL
Apoidea,ALLO-GER-567,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.06,0.036904,0.023096,3.564,16.593,59.137452
Apoidea,ALLO-GER-568,Europe,Germany,Hausen2,Hausen2,10.017931,49.935697,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0806,0.036904,0.043696,4.697,20.053,94.188941
Apoidea,ALLO-GER-569,Europe,Germany,Bergtheim3,Bergtheim3,10.057294,49.902308,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Male,0.045,0.036904,0.008096,2.757,14.319,39.477483
Apoidea,ALLO-GER-570,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0535,0.036904,0.016596,3.709,17.446,64.707214
Apoidea,ALLO-GER-571,Europe,Germany,Hausen2,Hausen2,10.017931,49.935697,NA,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.078,0.036904,0.041096,4.797,21.368,102.502296
Apoidea,ALLO-GER-572,Europe,Germany,Prosselsheim1,Prosselsheim1,10.135947,49.868039,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.061,0.036904,0.024096,3.694,16.42,60.65548
Apoidea,ALLO-GER-573,Europe,Germany,Prosselsheim1,Prosselsheim1,10.135947,49.868039,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Male,0.0511,0.036904,0.014196,3.14,15.229,47.81906
Apoidea,ALLO-GER-574,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0812,0.036904,0.044296,4.773,21.364,101.970372
Apoidea,ALLO-GER-575,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0784,0.036904,0.041496,4.047,20.564,83.222508
Apoidea,ALLO-GER-576,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0552,0.036904,0.018296,3.588,16.857,60.482916
Apoidea,ALLO-GER-577,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0671,0.036904,0.030196,4.044,18.165,73.45926
Apoidea,ALLO-GER-578,Europe,Germany,Opferbaum4,Opferbaum4,10.086428,49.909314,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0707,0.036904,0.033796,4.581,19.762,90.529722
Apoidea,ALLO-GER-579,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0645,0.036904,0.027596,3.754,16.624,62.406496
Apoidea,ALLO-GER-580,Europe,Germany,Opferbaum4,Opferbaum4,10.086428,49.909314,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0762,0.036904,0.039296,4.526,21.168,95.806368
Apoidea,ALLO-GER-581,Europe,Germany,Hausen2,Hausen2,10.017931,49.935697,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0549,0.036904,0.017996,3.295,15.446,50.89457
Apoidea,ALLO-GER-582,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0687,0.036904,0.031796,4.066,19.797,80.494602
Apoidea,ALLO-GER-583,Europe,Germany,Hausen2,Hausen2,10.017931,49.935697,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0506,0.036904,0.013696,2.969,14.864,44.131216
Apoidea,ALLO-GER-584,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0417,0.036904,0.004796,2.176,10.183,22.158208
Apoidea,ALLO-GER-586,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0695,0.036904,0.032596,4.342,20.212,87.760504
Apoidea,ALLO-GER-587,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.064,0.036904,0.027096,3.844,17.801,68.427044
Apoidea,ALLO-GER-588,Europe,Germany,Rieden2,Rieden2,10.057994,49.937231,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0598,0.036904,0.022896,3.777,17.126,64.684902
Apoidea,ALLO-GER-589,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0553,0.036904,0.018396,3.828,18.008,68.934624
Apoidea,ALLO-GER-590,Europe,Germany,Rieden3,Rieden3,10.050008,49.941994,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0499,0.036904,0.012996,3.049,15.509,47.286941
Apoidea,ALLO-GER-591,Europe,Germany,Bergtheim1,Bergtheim1,10.053631,49.900486,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0505,0.036904,0.013596,3.311,13.911,46.059321
Apoidea,ALLO-GER-592,Europe,Germany,Opferbaum4,Opferbaum4,10.086428,49.909314,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0677,0.036904,0.030796,4.248,21.699,92.177352
Apoidea,ALLO-GER-593,Europe,Germany,Bergtheim2,Bergtheim2,10.045694,49.896189,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0681,0.036904,0.031196,4.372,18.381,80.361732
Apoidea,ALLO-GER-594,Europe,Germany,Opferbaum4,Opferbaum4,10.086428,49.909314,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0723,0.036904,0.035396,4.38,20.209,88.51542
Apoidea,ALLO-GER-595,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0751,0.036904,0.038196,4.863,20.511,99.744993
Apoidea,ALLO-GER-596,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0643,0.036904,0.027396,3.903,17.266,67.389198
Apoidea,ALLO-GER-597,Europe,Germany,Hausen2,Hausen2,10.017931,49.935697,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0585,0.036904,0.021596,3.815,17.057,65.072455
Apoidea,ALLO-GER-598,Europe,Germany,Bergtheim3,Bergtheim3,10.057294,49.902308,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.065,0.036904,0.028096,4.541,19.238,87.359758
Apoidea,ALLO-GER-599,Europe,Germany,Bergtheim1,Bergtheim1,10.053631,49.900486,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0652,0.036904,0.028296,4.317,17.583,75.905811
Apoidea,ALLO-GER-600,Europe,Germany,Bergtheim1,Bergtheim1,10.053631,49.900486,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0606,0.036904,0.023696,3.573,17.22,61.52706
Apoidea,ALLO-GER-601,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0637,0.036904,0.026796,3.803,17.571,66.822513
Apoidea,ALLO-GER-602,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,16/6/17,NA,Pan_trap,Megachilidae,Megachilinae,Osmiini,Osmia,NA,Osmia NA,Male,0.0434,0.036904,0.006496,2.577,10.265,26.452905
Apoidea,ALLO-GER-603,Europe,Germany,Bergtheim1,Bergtheim1,10.053631,49.900486,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0493,0.036904,0.012396,3.002,14.498,43.522996
Apoidea,ALLO-GER-604,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0788,0.036904,0.041896,4.458,21.378,95.303124
Apoidea,ALLO-GER-605,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,17/5/17,NA,Pan_trap,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus NA,Female,0.0411,0.036904,0.004196,1.931,10.493,20.261983
Apoidea,ALLO-GER-606,Europe,Germany,Opferbaum4,Opferbaum4,10.086428,49.909314,NA,16/6/17,NA,Pan_trap,Colletidae,Hylaeinae,Halictina,Hylaeus,NA,Hylaeus NA,Female,0.0425,0.036904,0.005596,2.005,9.222,18.49011
Apoidea,ALLO-GER-607,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,1/5/17,NA,Pan_trap,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus NA,Female,0.045,0.036904,0.008096,2.78,13.345,37.0991
Apoidea,ALLO-GER-608,Europe,Germany,Rieden2,Rieden2,10.057994,49.937231,NA,16/6/17,NA,Pan_trap,Megachilidae,Megachilinae,Megachilini,Megachile,NA,Megachile NA,Female,0.0665,0.036904,0.029596,4.866,21.296,103.626336
Apoidea,ALLO-GER-609,Europe,Germany,Rieden3,Rieden3,10.050008,49.941994,NA,16/6/17,NA,Pan_trap,Colletidae,Hylaeinae,Halictina,Hylaeus,NA,Hylaeus NA,Male,0.0389,0.036904,0.001996,1.509,6.996,10.556964
Apoidea,ALLO-GER-610,Europe,Germany,Opferbaum2,Opferbaum2,10.065003,49.916336,NA,16/6/17,NA,Pan_trap,Megachilidae,Megachilinae,Anthidini,Anthidium,NA,Anthidium NA,Female,0.0489,0.036904,0.011996,3.533,10.781,38.089273
Apoidea,ALLO-GER-611,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,17/5/17,NA,Pan_trap,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus NA,Female,0.0645,0.036904,0.027596,3.882,19.326,75.023532
Apoidea,ALLO-GER-612,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,17/5/17,NA,Pan_trap,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus NA,Female,0.0487,0.036904,0.011796,2.62,15.589,40.84318
Apoidea,ALLO-GER-613,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,1/5/17,NA,Pan_trap,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus NA,Female,0.0623,0.036904,0.025396,4.229,20.99,88.76671
