"","Family","Tribe","Country","Measurer","Subfamily","Genus","Species","Sex","Latitude","Spec.wgt","Wgt.SD","IT","IT.SD","Cane"
"138","Colletidae","Halictina","Germany","LK","Hylaeinae","Hylaeus","Hylaeus_nigritus","Female",10.047256,0.007196,0.000282842712474619,1.5157785095,0.163291447023386,0.00532424397551699
"139","Colletidae","Halictina","Ireland","LR","Hylaeinae","Hylaeus","Hylaeus_pectoralis","Female",53.31,0.004396,NA,1.3,NA,0.00364407880599237
"140","Colletidae","Halictina","Germany","LK","Hylaeinae","Hylaeus","Hylaeus_pictipes","Female",10.086428,0.002334,NA,1.173070079,NA,0.0028276002591955
"141","Colletidae","Halictina","Australia","LK","Hylaeinae","Hylaeus","Hylaeus_primulipictus","Female",-29.94,0.008928,NA,1.119637044,NA,0.00252015289238698
"142","Colletidae","Halictina","Australia","LK","Hylaeinae","Hylaeus","Hylaeus_rotundiceps","Female",-30.01,0.00615555566666667,0.00361621824357786,1.973951431,0.1,0.010220343422411
"143","Colletidae","Halictina","USA","JC","Colletinae","Hylaeus","Hylaeus_rugulosus","Female",32.531318,0.002666667,NA,1.6889,NA,0.0069538786360189
"144","Halictidae","Halictini","Spain","IB","Halictinae","Lasioglossum","Lasioglossum_albocinctum","Female",37.396355,0.0178,NA,2.28,NA,0.0145890549442974
"145","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_bicingulatum","Female",-30.11,0.01165,0.00487903679018718,1.951227036,0.183847763108502,0.00993228631225734
"146","Halictidae","Halictini","Germany","LK","Halictinae","Lasioglossum","Lasioglossum_calceatum","Female",9.8358412,0.002727,NA,1.7223862452,NA,0.00729928240733054
"147","Halictidae","Halictini","Switzerland","LK","Halictinae","Lasioglossum","Lasioglossum_calceatum","Female",47.3769,0.011534,NA,1.57791666666667,NA,0.00587948910774058
"148","Halictidae","Halictini","Ireland","LR","Halictinae","Lasioglossum","Lasioglossum_calceatum","Female",53.31,0.00776813333333333,0.00214271716241207,2.03333333333333,0.111546315427987,0.0109963368419467
"149","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_clelandi","Female",-36.5918181818182,0.0075185,0.00460464010043624,1.64531314018182,0.215234104400231,0.00651912883526182
"150","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_convexum","Female",-36.528,0.00687507363636364,0.0012347248497319,1.4343391944,0.124869793337921,0.00464557366959491
"151","Halictidae","Halictini","Ireland","LR","Halictinae","Lasioglossum","Lasioglossum_cypromicans","Female",53.3,0.00543871,0.000223606797749979,1.2,0.0477173146026698,0.00299058839563426
"152","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_eremaean","Female",-26,0.003,NA,1.486912388,NA,0.00507738458632014
"153","Halictidae","Halictini","Switzerland","LK","Halictinae","Lasioglossum","Lasioglossum_fulvicorne","Female",47.3769,0.00537733333333333,0.000408697116864474,1.409,0.129046503245923,0.00444555883442656
"154","Halictidae","Halictini","Germany","LK","Halictinae","Lasioglossum","Lasioglossum_glabriusculum","Female",9.77085918367347,0.00119616326530612,0.000619258136366235,0.861258300081633,0.0597674627681842,0.00131852435804007
"155","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_globosum","Female",-36.636875,0.00403246,0.000917582875457761,1.4414252134375,0.119543227150363,0.0047024462376471
"156","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_hemichalceum","Female",-30.01,0.0015,NA,1.023211911,NA,0.00201769844881121
"157","Halictidae","Halictini","Australia","LK","Halictinae","Lasioglossum","Lasioglossum_hiltacum","Female",-36.5909090909091,0.00835689181818182,0.0011898051788576,1.75915844681818,0.114946865554803,0.00769011263635984
