,Superfamily,Tag,Region,Country,Measurer,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor,BL,Bl_cor
61,Syrphoidea,ALLO-AUS-94.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0748,0.067166,0.007634,4.027,2.47327393,14.341,8.807852354
62,Syrphoidea,ALLO-AUS-95.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0736,0.067166,0.006434,4.162,2.55618726,15.541,9.544859733
63,Syrphoidea,ALLO-AUS-97.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0727,0.067166,0.005534,3.984,2.446864499,14.766,9.068875801
64,Syrphoidea,ALLO-AUS-99.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0444,0.038672,0.005728,3.339,2.050723033,14.132,8.679490236
65,Syrphoidea,ALLO-AUS-100.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0463,0.038672,0.007628,3.704,2.27489611,13.827,8.492167527
66,Syrphoidea,ALLO-AUS-101.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.042,0.038672,0.003328,2.505,1.538502904,12.088,7.424121
67,Syrphoidea,ALLO-AUS-102.1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0452,0.038672,0.006528,3.509,2.155132411,13.069,8.026624532
68,Syrphoidea,ALLO-AUS-187,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/04/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0704,0.067166,0.003234,3.683,2.261998481,13.2079,8.111933136
69,Syrphoidea,ALLO-AUS-197,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/04/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0709,0.067166,0.003734,3.242,1.991148269,12.906,7.926514363
70,Syrphoidea,ALLO-AUS-198,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/04/2017,Vaccinium,Hand,Syrphidae,Eristalinae,Cerioidini,Ceriana,Ceriana,Ceriana_cersp2,Female,0.0725,0.067166,0.005334,2.707,1.662565813,15.727,9.659095877
